County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
Dallas,Accommodation and Food Services,2: <20 employees3: 20-99 employees,3003999,30221116,1739236442,379858745044
Dallas,Accommodation,2: <20 employees3: 20-99 employees,27096,27297,16643195,3801369114
Dallas,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,44436,45045,1792841,6874744487
Dallas,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,2733903,27501019,1572833247,341845675930
Dallas,Food and Beverage Stores,2: <20 employees3: 20-99 employees,73669,73775,24542636,5592662714
Dallas,General Merchandise Stores,2: <20 employees,51,51,163,5230
Dallas,Retail Trade,2: <20 employees3: 20-99 employees,4303384,4340477,1756412283,573805484770
Dawson,Retail Trade,2: <20 employees3: 20-99 employees,196,196,80169,25498278
Dawson,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,116,116,63154,22062291
Dawson,Food and Beverage Stores,2: <20 employees,5,5,15,182
Dawson,Accommodation,2: <20 employees,5,5,29,615
Dawson,Accommodation and Food Services,2: <20 employees3: 20-99 employees,166,166,92154,28212291
Dawson,Total,,270,279,2609,104464
DeWitt,Total,,425,454,5527,242620
DeWitt,Accommodation,2: <20 employees,7,7,41,568
DeWitt,Accommodation and Food Services,2: <20 employees,35,35,217,3488
DeWitt,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,4,37
DeWitt,Food Services and Drinking Places,2: <20 employees,28,28,176,2920
DeWitt,Food and Beverage Stores,2: <20 employees,6,6,23,442
DeWitt,Retail Trade,2: <20 employees3: 20-99 employees,417,427,198258,53656713
Deaf Smith,Retail Trade,2: <20 employees3: 20-99 employees,143,143,8095,23484355
Deaf Smith,Accommodation and Food Services,2: <20 employees3: 20-99 employees,245,245,125150,16941921
Deaf Smith,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,223,223,124105,16631285
Deaf Smith,Total,,358,374,5436,237657
Delta,Total,,55,55,380,7311
Delta,Retail Trade,2: <20 employees,9,9,43,836
Denton,Accommodation and Food Services,2: <20 employees3: 20-99 employees,865258,868272,52738770,97691142151
Denton,Retail Trade,2: <20 employees3: 20-99 employees,92190,927103,37482248,10838988194
Denton,General Merchandise Stores,2: <20 employees,6,6,13,447
Denton,Food and Beverage Stores,2: <20 employees3: 20-99 employees,1268,12810,457220,103745704
Denton,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,816243,819257,49158289,90798132268
Denton,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,675,676,30676,68992283
Denton,Total,,13244,15521,224526,10675697
Denton,Accommodation,2: <20 employees3: 20-99 employees,4915,4915,358481,68939883
Dickens,Total,,38,38,238,8627
Dickens,Retail Trade,2: <20 employees,5,5,21,520
Dickens,Food Services and Drinking Places,2: <20 employees,3,3,30,356
Dickens,Accommodation and Food Services,2: <20 employees,3,3,30,356
Dimmit,Retail Trade,2: <20 employees,14,14,99,2404
Dimmit,Accommodation,2: <20 employees,8,8,46,551
Dimmit,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,53,53,1274,3301079
Dimmit,Accommodation and Food Services,2: <20 employees3: 20-99 employees,133,133,5874,8811079
Dimmit,Total,,216,236,4545,255790
Dimmit,Food and Beverage Stores,2: <20 employees,3,3,18,357
Donley,Accommodation and Food Services,2: <20 employees,5,5,40,784
Donley,Food Services and Drinking Places,2: <20 employees,3,3,23,423
Donley,Retail Trade,2: <20 employees,6,6,22,603
Donley,Total,,72,73,382,9421
Duval,Total,,134,149,1845,70728
Duval,Food Services and Drinking Places,2: <20 employees,10,10,69,643
Duval,Retail Trade,2: <20 employees,9,9,46,975
Duval,Accommodation and Food Services,2: <20 employees,16,16,99,1048
Duval,Accommodation,2: <20 employees,6,6,30,405
Eastland,Total,,400,440,5827,255103
Eastland,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,169,1610,116186,16573145
Eastland,Accommodation and Food Services,2: <20 employees3: 20-99 employees,2610,2611,174206,25183445
Eastland,Accommodation,2: <20 employees,10,10,58,861
Eastland,Food and Beverage Stores,2: <20 employees,4,4,21,371
Eastland,Retail Trade,2: <20 employees3: 20-99 employees,413,423,20763,50501412
Ector,Accommodation,2: <20 employees3: 20-99 employees,2011,2011,144301,29125690
Ector,Retail Trade,2: <20 employees3: 20-99 employees,19322,19627,832505,2939129178
Ector,Food and Beverage Stores,2: <20 employees,25,26,81,2511
Ector,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,10958,10966,6432065,1687234902
Ector,Accommodation and Food Services,2: <20 employees3: 20-99 employees,12969,12977,7872366,1978440592
Ector,Total,,3287,3782,66620,3973956
Ector,Clothing and Clothing Accessories Stores,2: <20 employees,19,19,66,1568
Edwards,Total,,39,39,291,8060
Edwards,Accommodation and Food Services,2: <20 employees,4,4,23,184
Edwards,Food Services and Drinking Places,2: <20 employees,3,3,20,131
Edwards,Retail Trade,2: <20 employees,5,5,34,733
El Paso,Accommodation and Food Services,2: <20 employees3: 20-99 employees,782261,792335,465410022,71280151134
El Paso,Clothing and Clothing Accessories Stores,2: <20 employees3: 20-99 employees,13912,14616,579221,192433440
El Paso,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,733244,743318,43819393,64252140017
